frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,15392.200195,2436.100098,1893.199951,13158.299805,2927,60627540,
2,15323.799805,2422.199951,1924.300049,13072.700195,2416,58128714,
3,14658.099609,2521.100098,2049.399902,12290.900391,2536,58232340,
4,15097.799805,2497.199951,2025.300049,12780.000000,2458,58360820,
5,15393.700195,2567.500000,2053.800049,13005.500000,2562,58458804,
6,14601.900391,2458.899902,1922.800049,12328.200195,2487,58078628,
7,14304.400391,2371.399902,1916.300049,12092.900391,2473,58129556,
8,14041.200195,2419.899902,1918.199951,11799.700195,2476,58047732,
9,14193.400391,2564.399902,2020.599976,11824.900391,2456,57916852,
10,13957.099609,2397.699951,1902.000000,11735.599609,2424,56676388,
11,14136.799805,2438.100098,1955.300049,11869.500000,2423,57487028,
12,14582.200195,2465.199951,1993.000000,12278.200195,2456,57483124,
13,14212.299805,2465.699951,2002.300049,11911.000000,2459,54537748,
14,14091.799805,2451.399902,1981.900024,11811.099609,2483,54533716,
15,13870.900391,2536.199951,2066.699951,11512.200195,2459,54722644,
16,14035.000000,2644.100098,2155.600098,11558.500000,2403,54759956,
17,13790.000000,2469.600098,1964.500000,11491.000000,2396,54779668,
18,13968.900391,2369.500000,1891.599976,11765.400391,2451,54475562,
19,13969.200195,2426.199951,1911.500000,11714.599609,2590,54689514,
20,13749.799805,2433.199951,1924.599976,11481.200195,2636,54699434,
21,13946.799805,2480.800049,1958.900024,11670.200195,2655,54876842,
22,13675.799805,2412.699951,1900.599976,11430.500000,2614,54798730,
23,13798.500000,2522.399902,2013.099976,11453.799805,2561,54595034,
24,13901.900391,2437.100098,1959.099976,11639.200195,2534,54940266,
25,13972.000000,2477.000000,1975.699951,11656.099609,2555,54795434,
26,13775.900391,2432.600098,1936.000000,11515.900391,2594,54772970,
27,13968.299805,2493.899902,1995.400024,11643.700195,2615,54601386,
28,13960.299805,2564.000000,2021.599976,11576.500000,2596,55105386,
29,13967.400391,2494.399902,1981.599976,11648.599609,2639,55300170,
30,13720.099609,2475.300049,1960.599976,11418.799805,2597,52283382,
31,13980.000000,2526.000000,2044.099976,11625.599609,2573,55171332,
32,13636.299805,2448.500000,1957.699951,11367.900391,2570,55148660,
33,13622.000000,2495.699951,1977.000000,11312.500000,2582,54891146,
34,13779.200195,2503.899902,1993.099976,11457.200195,2580,52102518,
35,14319.000000,2675.699951,2146.600098,11842.900391,2590,52257654,
36,14177.000000,2624.399902,2108.000000,11735.200195,2622,52083446,
37,13976.299805,2599.800049,2095.399902,11549.599609,2626,52562550,
38,13957.799805,2634.600098,2129.899902,11483.299805,2601,49980064,
39,13906.200195,2641.500000,2150.300049,11447.200195,2580,49893728,
40,13669.900391,2510.500000,2029.000000,11327.299805,2586,52623264,
41,13588.299805,2550.500000,2040.900024,11228.200195,2628,53326154,
42,13972.200195,2590.300049,2045.800049,11576.299805,2610,50012618,
43,14123.200195,2520.899902,2053.199951,11764.700195,2613,49964746,
44,13522.900391,2501.199951,2015.400024,11190.599609,2665,50045194,
45,13641.200195,2494.899902,1966.000000,11341.299805,2669,49644768,
46,14041.599609,2503.899902,1983.900024,11707.799805,2701,49796704,
47,13845.500000,2576.800049,2090.100098,11436.700195,2654,49842656,
48,13703.599609,2690.800049,2181.500000,11202.299805,2639,49703712,
49,13900.500000,2542.199951,2031.099976,11553.500000,2626,49748768,
50,13868.099609,2572.000000,2060.500000,11478.500000,2665,49801824,
51,14060.599609,2584.500000,2074.300049,11661.700195,2629,49732256,
52,13832.799805,2438.600098,1931.199951,11564.599609,2624,49720192,
53,13946.500000,2597.300049,2065.899902,11530.799805,2642,52528160,
54,13835.500000,2482.500000,1952.699951,11536.700195,2684,52522560,
55,13961.599609,2580.399902,2040.000000,11574.000000,2697,52319190,
56,13652.700195,2472.699951,1984.800049,11351.700195,2691,52099798,
57,13727.299805,2520.399902,1989.400024,11404.000000,2704,52108619,
58,13898.400391,2581.300049,1997.300049,11512.900391,2693,52041888,
59,13983.299805,2490.399902,2006.500000,11676.000000,2696,52102688,
60,14035.799805,2498.399902,1990.300049,11724.200195,2697,52249984,
61,13846.799805,2497.600098,1993.400024,11529.000000,2685,52268480,
62,13817.299805,2450.100098,1971.099976,11534.799805,2630,52223360,
63,13727.500000,2540.899902,1981.300049,11382.500000,2639,52226112,
64,13838.599609,2500.800049,1974.300049,11543.900391,2631,52229824,
65,13771.099609,2390.100098,1913.800049,11554.200195,2607,52078912,
66,14118.400391,2587.500000,2052.199951,11725.099609,2603,52080736,
67,13964.000000,2499.100098,2000.900024,11654.299805,2567,49325184,
68,14088.000000,2643.399902,2119.600098,11622.599609,2611,49423744,
69,13543.599609,2543.899902,2042.400024,11186.900391,2611,49549888,
70,13869.799805,2614.300049,2103.100098,11425.299805,2630,52415360,
71,13781.700195,2648.899902,2115.699951,11319.200195,2595,52215232,
72,13786.400391,2559.399902,2055.000000,11400.400391,2587,52329984,
73,13838.299805,2565.500000,2054.500000,11467.799805,2611,52542656,
74,13944.599609,2646.000000,2098.899902,11486.799805,2584,52738592,
75,13908.000000,2541.100098,2042.300049,11540.500000,2543,52667766,
76,13966.299805,2762.399902,2212.300049,11401.599609,2567,52949472,
77,13883.599609,2675.899902,2145.500000,11407.599609,2586,55187668,
78,13756.700195,2538.899902,2048.399902,11391.299805,2578,55230164,
79,13740.900391,2510.000000,2019.599976,11410.200195,2582,55206740,
