frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,14917.400391,2261.699951,1750.099976,12837.400391,2927,60627540,
2,14621.500000,2395.699951,1909.800049,12395.299805,2416,58128714,
3,14614.900391,2442.600098,1947.599976,12359.000000,2536,58232340,
4,14772.500000,2405.899902,1923.900024,12529.200195,2458,58360820,
5,14266.599609,2341.800049,1859.400024,12088.900391,2562,58458804,
6,14056.000000,2405.699951,1898.900024,11825.900391,2487,58078628,
7,14255.299805,2458.800049,1980.099976,11958.099609,2473,58129556,
8,13941.799805,2424.300049,1925.599976,11696.900391,2476,58047732,
9,13782.700195,2480.100098,1979.400024,11480.299805,2456,57916852,
10,13768.200195,2430.300049,1953.199951,11506.299805,2424,56676388,
11,13912.900391,2543.899902,2045.699951,11552.299805,2423,57487028,
12,13676.900391,2455.199951,1972.300049,11397.599609,2456,57483124,
13,13899.900391,2457.800049,1970.699951,11616.700195,2459,54537748,
14,13770.299805,2511.500000,2036.599976,11428.599609,2483,54533716,
15,13793.500000,2584.800049,2077.199951,11393.000000,2459,54722644,
16,13926.000000,2648.199951,2130.000000,11459.900391,2403,54759956,
17,13729.500000,2613.399902,2139.500000,11286.299805,2396,54779668,
18,13647.000000,2529.600098,2040.800049,11295.700195,2451,54475562,
19,13840.200195,2503.800049,1997.300049,11519.400391,2590,54689514,
20,13811.799805,2477.100098,1969.199951,11518.599609,2636,54699434,
21,13892.099609,2549.300049,2012.400024,11527.799805,2655,54876842,
22,13788.900391,2491.500000,1996.199951,11482.700195,2614,54798730,
23,13724.400391,2513.300049,2036.800049,11381.000000,2561,54595034,
24,13761.200195,2509.600098,2023.000000,11427.200195,2534,54940266,
25,13914.500000,2463.100098,1959.099976,11647.900391,2555,54795434,
26,13737.599609,2467.800049,1999.099976,11437.599609,2594,54772970,
27,13966.700195,2651.699951,2063.600098,11508.200195,2615,54601386,
28,14293.799805,2531.699951,2029.300049,11945.799805,2596,55105386,
29,13743.099609,2532.100098,2043.400024,11394.599609,2639,55300170,
30,13839.400391,2569.000000,2082.100098,11436.799805,2597,52283382,
31,14049.400391,2524.899902,2024.000000,11700.500000,2573,55171332,
32,13758.000000,2520.300049,2037.900024,11413.900391,2570,55148660,
33,13443.299805,2512.100098,2032.400024,11099.500000,2582,54891146,
34,13475.799805,2472.600098,1992.900024,11176.799805,2580,52102518,
35,13725.500000,2388.199951,1911.800049,11515.000000,2590,52257654,
36,13825.299805,2502.000000,1999.500000,11505.200195,2622,52083446,
37,13805.000000,2370.000000,1910.800049,11604.599609,2626,52562550,
38,13864.700195,2426.899902,1952.000000,11612.200195,2601,49980064,
39,13675.599609,2441.300049,1945.900024,11429.500000,2580,49893728,
40,13543.000000,2332.100098,1842.900024,11392.900391,2586,52623264,
41,13340.000000,2400.199951,1905.199951,11107.799805,2628,53326154,
42,13519.799805,2362.100098,1857.900024,11329.900391,2610,50012618,
43,13006.099609,2294.199951,1857.800049,10859.500000,2613,49964746,
44,13612.400391,2544.699951,2036.199951,11237.200195,2665,50045194,
45,13289.700195,2318.899902,1825.599976,11150.900391,2669,49644768,
46,13593.200195,2510.399902,2028.199951,11264.500000,2701,49796704,
47,13433.000000,2490.000000,1991.199951,11129.099609,2654,49842656,
48,13287.400391,2465.000000,1990.599976,11001.500000,2639,49703712,
49,13262.400391,2498.199951,2016.099976,10947.200195,2626,49748768,
50,13327.400391,2419.000000,1944.000000,11091.700195,2665,49801824,
51,13428.000000,2346.199951,1888.800049,11240.299805,2629,49732256,
52,13656.799805,2510.699951,1970.199951,11346.299805,2624,49720192,
53,13573.299805,2357.699951,1856.900024,11392.299805,2642,52528160,
54,13394.299805,2459.399902,1960.500000,11115.000000,2684,52522560,
55,13217.200195,2372.800049,1888.699951,11021.099609,2697,52319190,
56,12884.500000,2481.500000,1961.000000,10591.599609,2691,52099798,
57,13010.200195,2474.300049,1986.199951,10707.599609,2704,52108619,
58,13188.299805,2509.399902,2027.699951,10848.799805,2693,52041888,
59,13381.299805,2590.300049,2049.399902,10978.099609,2696,52102688,
60,13538.200195,2532.899902,2023.199951,11181.599609,2697,52249984,
61,13492.200195,2435.399902,1920.400024,11251.299805,2685,52268480,
62,13607.000000,2529.399902,2016.699951,11243.799805,2630,52223360,
63,13534.000000,2402.699951,1892.000000,11305.900391,2639,52226112,
64,13477.299805,2496.399902,2008.500000,11151.099609,2631,52229824,
65,13184.200195,2521.899902,2000.300049,10833.000000,2607,52078912,
66,13058.700195,2422.800049,1913.099976,10822.500000,2603,52080736,
67,12893.900391,2397.199951,1924.900024,10662.700195,2567,49325184,
68,13042.599609,2480.600098,1981.199951,10742.400391,2611,49423744,
69,13591.000000,2569.199951,2039.599976,11211.900391,2611,49549888,
70,13473.599609,2413.399902,1925.300049,11231.799805,2630,52415360,
71,13533.000000,2474.300049,2006.500000,11241.299805,2595,52215232,
72,13238.500000,2418.500000,1899.300049,11011.099609,2587,52329984,
73,13394.599609,2584.699951,2115.600098,10993.000000,2611,52542656,
74,12901.500000,2473.699951,1995.099976,10601.000000,2584,52738592,
75,12802.900391,2416.699951,1941.000000,10550.400391,2543,52667766,
76,13132.200195,2450.899902,1990.699951,10855.599609,2567,52949472,
77,13157.000000,2504.899902,2023.699951,10824.200195,2586,55187668,
78,13067.799805,2390.000000,1917.300049,10829.900391,2578,55230164,
79,13082.700195,2448.899902,1953.900024,10788.200195,2582,55206740,
80,13198.799805,2495.800049,1995.800049,10881.799805,2574,55139668,
81,12924.000000,2477.600098,1996.000000,10643.599609,2582,55184020,
82,12735.299805,2442.000000,1938.099976,10491.200195,2591,55083860,
83,12576.299805,2360.000000,1891.400024,10379.400391,2570,55095060,
84,12768.799805,2526.000000,2049.399902,10415.000000,2569,55060884,
85,12960.099609,2490.399902,1984.000000,10649.900391,2593,55162772,
86,12844.799805,2413.000000,1941.900024,10594.400391,2577,55426142,
87,13230.200195,2559.399902,2062.800049,10842.299805,2538,55500264,
88,13066.900391,2499.899902,2019.500000,10734.000000,2553,55508264,
89,12873.000000,2522.899902,2059.300049,10500.299805,2527,55515432,
90,13078.799805,2534.600098,2048.199951,10730.099609,2518,55265000,
91,13316.099609,2505.199951,1995.800049,10983.000000,2550,55276968,
92,12912.000000,2415.000000,1939.900024,10676.700195,2564,55261096,
93,12942.400391,2537.199951,2021.599976,10597.900391,2556,55347528,
94,13048.599609,2459.000000,1971.699951,10776.500000,2554,58214588,
95,12966.299805,2429.000000,1929.900024,10720.200195,2553,58105042,
96,13105.200195,2515.000000,2041.300049,10754.000000,2530,58111058,
97,12889.299805,2427.399902,1948.199951,10638.400391,2513,58265106,
98,13148.000000,2480.399902,1989.900024,10832.700195,2503,55630110,
99,12847.299805,2447.000000,1962.599976,10567.099609,2551,55341342,
100,12406.200195,2369.399902,1925.099976,10199.099609,2540,55494958,
101,12543.900391,2369.199951,1931.099976,10330.000000,2515,52427966,
102,12715.599609,2535.000000,2074.699951,10348.700195,2526,52982238,
