frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,22664.099609,3607.199951,3161.100098,19215.900391,2021,52762562,
2,21566.800781,2843.800049,2353.600098,18904.800781,2188,50423735,
3,21301.199219,2821.899902,2321.500000,18662.000000,2344,50455799,
4,21340.099609,2992.300049,2434.800049,18546.099609,2375,50517511,
5,20574.800781,2982.800049,2380.300049,17787.800781,2851,50569095,
6,20450.500000,3015.000000,2426.000000,17661.699219,3081,50419655,
7,20543.300781,3087.899902,2474.300049,17654.000000,3090,50200439,
8,20954.699219,3107.899902,2490.300049,18060.400391,2916,49871927,
9,20811.800781,3050.100098,2486.600098,17946.000000,2761,49486455,
10,20399.400391,3122.000000,2555.699951,17465.300781,2695,49191879,
11,20647.599609,3157.000000,2565.800049,17676.199219,2689,49126535,
12,20737.099609,3178.399902,2569.300049,17749.800781,2682,48577927,
13,20926.599609,3328.699951,2749.800049,17799.500000,2691,49062017,
14,20938.099609,3290.899902,2696.300049,17837.699219,2737,52414529,
15,20756.699219,3141.100098,2566.300049,17811.199219,2743,50278273,
16,20662.699219,3337.500000,2793.199951,17508.099609,2851,50647041,
17,20756.500000,3272.600098,2690.300049,17697.000000,2955,54559339,
18,20776.400391,3347.199951,2751.399902,17639.599609,2985,51364257,
19,21110.300781,3360.699951,2757.100098,17973.800781,3004,51655819,
20,21213.599609,3351.199951,2723.000000,18092.000000,3069,54788437,
21,20793.400391,3317.300049,2763.800049,17670.099609,3097,55372479,
22,20942.500000,3403.300049,2823.800049,17747.599609,3158,58332467,
23,20838.599609,3298.899902,2704.800049,17737.300781,3103,54455205,
24,21001.199219,3439.899902,2807.199951,17764.800781,3092,54441867,
25,21247.000000,3325.100098,2683.000000,18137.500000,3122,55514085,
26,20751.500000,3344.500000,2739.399902,17614.599609,3139,58369113,
27,20927.900391,3397.199951,2788.800049,17719.599609,3137,56722031,
28,20597.300781,3277.699951,2701.500000,17531.400391,3167,56699375,
29,20827.500000,3465.500000,2805.100098,17567.900391,3205,57579171,
30,20962.800781,3355.800049,2790.199951,17807.199219,3198,60690515,
31,21045.000000,3492.800049,2847.100098,17777.000000,3242,61020552,
32,20971.099609,3564.300049,2961.699951,17634.699219,3213,56702632,
33,20703.199219,3405.300049,2818.500000,17488.699219,3233,56352462,
34,20602.000000,3418.899902,2822.199951,17388.699219,3271,56660398,
35,21110.000000,3551.000000,2928.899902,17767.400391,3267,56670020,
36,21198.199219,3492.199951,2859.000000,17909.199219,3316,56737172,
37,20901.599609,3526.500000,2926.800049,17569.599609,3360,57175934,
38,20853.599609,3507.800049,2921.399902,17539.900391,3432,60283731,
39,20974.800781,3570.800049,2963.000000,17607.500000,3381,60236072,
40,20957.699219,3462.100098,2865.500000,17700.000000,3404,61899357,
41,21027.300781,3470.100098,2874.300049,17765.800781,3428,62204466,
42,20851.400391,3414.100098,2841.699951,17646.800781,3449,58818674,
43,20828.300781,3440.800049,2800.899902,17610.400391,3433,59151522,
44,20834.699219,3376.699951,2814.199951,17647.400391,3432,59092834,
45,21031.800781,3452.399902,2866.800049,17782.400391,3479,59070370,
46,21014.000000,3400.800049,2831.399902,17812.900391,3489,59320535,
47,20565.099609,3391.000000,2799.800049,17372.599609,3557,62612855,
48,20587.400391,3469.500000,2851.300049,17337.599609,3535,59833603,
49,20875.099609,3470.300049,2847.600098,17629.500000,3541,59726595,
50,21012.400391,3517.899902,2907.600098,17720.400391,3563,59628014,
51,20991.699219,3525.399902,2921.000000,17660.900391,3569,59524174,
52,20915.800781,3595.600098,2982.300049,17541.000000,3591,57946451,
53,20733.599609,3568.199951,2951.300049,17391.300781,3638,55837811,
54,20871.300781,3458.800049,2876.899902,17605.699219,3668,55592393,
55,20966.300781,3628.300049,3011.500000,17557.800781,3686,58485213,
