frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,25757,3399,2734,22595,2021,52762562,
2,27745,3265,2732,24718,2188,50423735,
3,25183,2814,2316,22521,2344,50455799,
4,23846,3052,2566,20964,2375,50517511,
5,20046,3005,2401,17201,2851,50569095,
6,19829,3077,2486,16916,3081,50419655,
7,19724,2702,2114,17200,3090,50200439,
8,21713,3504,2838,18394,2916,49871927,
9,20850,3246,2590,17845,2761,49486455,
10,20143,3292,2679,17075,2695,49191879,
11,21209,3133,2545,18280,2689,49126535,
12,21457,3558,3007,18094,2682,48577927,
13,21129,3693,3101,17641,2691,49062017,
14,20523,3069,2557,17634,2737,52414529,
15,20341,3289,2784,17206,2743,50278273,
16,20734,3804,3289,17087,2851,50647041,
17,20373,3308,2713,17284,2955,54559339,
18,20618,3330,2679,17480,2985,51364257,
19,21713,3551,2848,18424,3004,51655819,
20,21288,3487,2881,18022,3069,54788437,
21,20201,3276,2737,17091,3097,55372479,
22,20370,3247,2678,17334,3158,58332467,
23,21261,3585,2877,17843,3103,54455205,
24,21344,4310,3773,17229,3092,54441867,
25,21858,3725,3133,18315,3122,55514085,
26,21096,3266,2757,18011,3139,58369113,
27,20936,3329,2778,17823,3137,56722031,
28,20082,3153,2642,17100,3167,56699375,
29,20551,3357,2703,17463,3205,57579171,
30,20477,3416,2881,17229,3198,60690515,
31,21045,3475,2913,17740,3242,61020552,
32,20726,3738,3165,17192,3213,56702632,
33,20277,3407,2734,17048,3233,56352462,
34,20829,3468,2845,17590,3271,56660398,
35,20392,3520,2887,17144,3267,56670020,
36,20959,3608,2967,17577,3316,56737172,
37,20734,3520,2854,17422,3360,57175934,
38,21111,3945,3156,17382,3432,60283731,
39,21681,3974,3242,17931,3381,60236072,
40,21320,3449,2913,18051,3404,61899357,
41,20707,3429,2833,17461,3428,62204466,
42,20788,3618,3017,17433,3449,58818674,
43,20434,3455,2932,17152,3433,59151522,
44,21407,3557,2900,18022,3432,59092834,
45,21235,3597,3008,17825,3479,59070370,
46,20585,3335,2756,17427,3489,59320535,
47,21184,3607,3052,17753,3557,62612855,
48,20260,3328,2790,17107,3535,59833603,
49,20665,3339,2773,17499,3541,59726595,
50,21073,3520,2963,17728,3563,59628014,
51,20526,3404,2806,17296,3569,59524174,
52,20860,3961,3427,17078,3591,57946451,
53,20510,3497,2903,17251,3638,55837811,
54,20338,3551,2979,16975,3668,55592393,
55,21578,3773,3167,17981,3686,58485213,
56,21600,3777,3220,17998,3674,58491703,
57,21062,3416,2761,17936,3673,58343959,
58,20344,3476,2819,17144,3683,55950835,
59,20428,3476,2766,17134,3706,55771379,
60,21602,3776,3174,18010,3728,53375277,
61,22460,4076,3256,18628,3727,53339949,
62,21055,3173,2498,18195,3760,54037751,
63,21205,3319,2570,18190,3755,54120055,
64,21317,3263,2545,18280,3770,54094541,
65,21937,3459,2828,18729,3765,53484493,
66,22173,4032,3147,18511,3803,56340429,
67,21216,3583,2821,17917,3821,56389176,
68,20551,3486,2847,17275,3818,55683512,
69,20723,3731,3063,17279,3846,57152232,
70,20411,3779,3172,16827,3818,54539490,
71,20846,3700,3056,17336,3827,54603746,
72,21208,3700,2958,17817,3899,54358178,
73,20673,3915,3243,17004,3942,57623682,
74,20770,3909,3192,17204,3933,58016114,
75,20432,3534,2856,17090,3920,57827378,
76,21390,3745,3038,17933,3958,61119420,
77,21233,3888,3217,17539,3966,61388310,
78,21524,3735,3147,17977,3971,60918060,
79,20489,3513,2825,17208,3963,58114380,
80,20711,3639,3057,17264,3952,57877826,
81,20537,3694,3000,17036,3983,58285879,
82,20948,3713,3086,17437,4009,55484503,
83,20837,3770,3125,17323,4012,53936722,
84,20354,3575,2993,16973,4008,53890066,
85,20866,3980,3253,17165,4008,53619314,
86,21619,3927,3215,17987,4009,53675340,
87,20675,3803,3197,17079,3990,54361867,
88,20986,3646,3002,17549,3974,54566443,
89,20667,3764,3134,17110,4028,57074869,
90,20604,3707,3007,17204,4072,57184437,
91,20711,3654,3063,17248,4093,59697877,
92,21423,3807,3123,17813,4121,57131809,
93,21251,3652,3011,17822,4094,56978716,
94,21220,3723,3083,17763,4091,58159905,
95,20617,3731,3071,17115,4095,57472706,
96,21021,3841,3163,17469,4095,57621826,
97,22219,3481,2893,18936,4102,60968114,
98,21287,3673,3035,17818,4176,56353918,
99,21444,3451,2806,18223,4172,56552126,
100,21400,3612,3024,18006,4152,59434930,
101,21867,3694,3029,18406,4205,57591704,
102,21556,3856,3059,18024,4254,57714136,
103,21329,3764,3086,17769,4253,57710936,
104,21010,4065,3387,17190,4297,57463496,
105,21082,3999,3334,17286,4380,60428936,
106,21341,3987,3238,17584,4311,60192648,
107,23005,4250,3516,19079,4356,61905368,
108,23380,4644,3914,18957,4353,61786872,
109,21694,4074,3136,17834,4354,61784824,
110,20945,3870,3248,17276,4383,62122568,
111,21029,3866,3206,17374,4399,59570669,
112,21105,3925,3339,17390,4396,58854834,
113,21571,3756,3139,18021,4453,59109266,
114,21294,3801,3067,17755,4411,59808614,
115,21023,3781,3149,17449,4404,59305270,
116,22168,4261,3458,18156,4403,59495350,
117,21672,3806,3169,18099,4444,61332705,
118,22491,4019,3399,18674,4407,61340589,
119,21913,3883,3125,18274,4451,61276381,
120,21840,4077,3398,17970,4470,61074781,
121,21539,4074,3399,17741,4483,63918749,
122,21144,3904,3181,17486,4488,62929549,
123,22452,3913,3291,18745,4423,57765273,
124,22406,3644,3014,18999,4435,57474937,
125,22480,4554,3748,18257,4515,57384164,
126,22096,4795,4171,17533,4497,56122740,
127,24404,4870,4031,19900,4507,56495369,
128,22796,4511,3406,18623,4553,56893305,
129,21955,4316,3688,17846,4576,59892825,
130,22071,4315,3600,17961,4612,59718073,
131,23041,3849,3199,19409,4481,58916111,
132,22157,4046,3298,18355,4585,53363311,
133,22430,4760,3897,18077,4636,53530671,
134,21787,4230,3508,17794,4675,53245519,
135,22867,4126,3418,19046,4678,50385263,
136,21827,3757,2909,18325,4666,50352751,
137,22195,3797,3060,18663,4708,50570255,
138,22434,4116,3406,18552,4761,50641316,
139,21976,4214,3445,18014,4768,50532900,
140,20740,3764,3073,17250,4765,50641908,
141,21411,4224,3269,17564,4711,50313012,
142,22896,4002,3336,19116,4728,50812318,
143,22997,4582,3016,18656,4750,50914910,
144,22365,4518,3827,18066,4770,51046238,
145,21472,4122,3438,17568,4813,51688755,
146,21557,4150,3239,17820,4817,52001011,
147,22570,4107,3423,18691,4821,51807603,
148,23062,4091,3269,19188,4792,54532333,
149,21825,4401,3684,17647,4887,55316941,
150,22222,4128,3365,18355,4843,55264621,
151,22577,4167,3387,18647,4836,55452525,
152,24019,4956,4070,19382,4900,58149197,
153,22667,4315,3573,18577,4924,58090637,
154,23493,4337,3658,19387,4937,57801805,
155,22875,4229,3477,18881,4981,58133666,
156,21747,4470,3660,17532,4976,58067106,
157,22021,4032,3318,18219,4945,59360034,
158,21242,3899,3201,17573,5002,59346722,
159,23022,4072,3306,19237,5016,58912850,
160,22132,4145,3397,18265,5011,59170194,
161,22249,4453,3610,18063,5024,59225746,
162,22697,4561,3684,18426,5060,59373234,
163,23337,4028,3278,19555,5011,58109854,
164,22026,3908,3085,18404,4992,57767412,
165,22327,4269,3432,18318,5006,60651944,
166,22143,4526,3710,17868,4990,60933138,
167,23253,4278,3497,19220,5059,60932818,
168,23256,4439,3484,19074,5020,60884605,
169,22476,4467,3653,18345,5001,60706685,
170,21362,3939,3218,17694,5025,58143357,
171,23130,4307,3538,19055,4977,58043069,
172,22277,3968,3183,18588,5027,54198308,
173,23128,4010,3279,19351,4989,54363364,
174,21555,4079,3349,17751,5009,51874544,
175,21950,4152,3295,18022,4999,51994784,
176,22375,3939,3178,18685,5027,51955296,
177,23685,5185,4353,18822,5051,52684447,
178,22554,4150,3434,18637,5072,52701471,
179,22986,4027,3214,19292,5115,55383477,
180,22728,3928,3081,19128,5079,57848575,
181,22897,4356,3473,18892,5119,57901333,
182,21796,4471,3742,17595,5099,57951957,
183,22995,4139,3406,19087,5164,59337263,
184,22380,4051,3268,18600,5186,59583247,
185,22614,4284,3436,18661,5172,59536847,
186,22341,4222,3528,18349,5197,59627461,
187,23628,4173,3422,19730,5180,59519429,
188,22307,4043,3181,18597,5177,59767813,
189,21754,4156,3343,17875,5200,59646811,
190,21860,4222,3289,17865,5212,59830816,
191,22161,4407,3680,17987,5216,57018252,
192,23092,4003,3034,19455,5183,58033292,
193,22407,4109,3290,18535,5171,57333282,
194,22082,4356,3503,17969,5213,57319202,
195,21846,4118,3236,18131,5209,57327074,
196,24395,4126,3283,20584,5190,56615480,
197,24013,4907,3985,19357,5237,61900800,
198,21840,4006,3234,18083,5158,61820864,
199,22568,3963,3168,18865,5180,62094581,
200,22633,3817,3046,19054,5183,64688937,
201,22969,4127,3325,19124,5269,65758611,
202,23056,4366,3639,18925,5287,65768531,
203,22223,3944,2997,18560,5342,64551753,
204,22131,3615,2837,18777,5362,65063411,
205,21722,4332,3381,17811,5325,64939635,
206,22986,4528,3623,18834,5276,65582493,
207,23175,3967,3150,19454,5269,62389789,
208,22351,3976,3238,18616,5311,62771581,
209,21930,4419,3618,17786,5365,63307964,
210,22743,4416,3481,18721,5384,63293628,
211,23337,3982,3281,19595,5345,65997760,
212,22344,3866,3078,18763,5368,66014912,
213,22051,4622,3403,17802,5384,63231850,
214,21799,4159,3351,17876,5382,59923959,
215,23027,4428,3667,18833,5448,60018247,
216,23378,4430,3628,19220,5460,59785469,
217,25600,7105,6405,18725,5033,55783633,
