frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,22533.099609,3889.500000,3412.500000,18804.400391,2021,52762562,
2,20592.000000,2917.399902,2417.300049,17848.800781,2188,50423735,
3,20729.800781,3007.699951,2428.399902,17910.500000,2344,50455799,
4,20770.900391,2977.899902,2449.199951,17963.400391,2375,50517511,
5,21173.800781,3241.000000,2666.800049,18124.699219,2851,50569095,
6,20813.099609,3123.500000,2515.800049,17896.199219,3081,50419655,
7,20634.800781,3164.300049,2565.500000,17666.099609,3090,50200439,
8,20753.599609,3240.100098,2560.300049,17734.599609,2916,49871927,
9,20681.000000,3044.000000,2440.500000,17845.900391,2761,49486455,
10,20664.000000,3061.300049,2490.800049,17794.900391,2695,49191879,
11,20646.400391,3111.399902,2550.399902,17731.699219,2689,49126535,
12,20754.900391,3210.000000,2658.399902,17725.900391,2682,48577927,
13,20693.699219,3204.899902,2582.000000,17694.400391,2691,49062017,
14,20665.099609,3082.500000,2504.399902,17773.000000,2737,52414529,
15,20655.199219,3198.300049,2616.000000,17661.900391,2743,50278273,
16,20961.599609,3322.399902,2731.100098,17841.900391,2851,50647041,
17,20921.699219,3277.800049,2692.800049,17847.400391,2955,54559339,
18,20969.800781,3262.800049,2707.899902,17903.000000,2985,51364257,
19,20681.500000,3271.500000,2678.500000,17624.599609,3004,51655819,
20,20778.800781,3336.600098,2683.199951,17657.699219,3069,54788437,
21,20766.800781,3289.500000,2693.699951,17688.400391,3097,55372479,
22,21096.400391,3409.500000,2739.399902,17884.000000,3158,58332467,
23,20847.300781,3304.800049,2683.500000,17757.300781,3103,54455205,
24,20792.300781,3323.800049,2704.600098,17686.199219,3092,54441867,
25,20869.300781,3372.399902,2742.500000,17710.000000,3122,55514085,
26,20964.900391,3316.399902,2698.899902,17868.099609,3139,58369113,
27,20778.599609,3315.300049,2733.100098,17661.900391,3137,56722031,
28,20578.800781,3309.600098,2677.699951,17497.500000,3167,56699375,
29,20756.099609,3426.399902,2814.300049,17547.900391,3205,57579171,
30,20877.800781,3529.899902,2839.800049,17582.400391,3198,60690515,
31,20674.400391,3472.899902,2850.300049,17413.099609,3242,61020552,
32,21034.900391,3615.300049,2966.000000,17634.800781,3213,56702632,
33,20712.900391,3474.600098,2866.300049,17454.500000,3233,56352462,
34,20775.900391,3413.899902,2765.300049,17599.000000,3271,56660398,
35,20971.599609,3449.600098,2843.000000,17739.300781,3267,56670020,
36,20581.000000,3417.899902,2793.800049,17384.900391,3316,56737172,
37,20893.800781,3401.600098,2796.800049,17699.400391,3360,57175934,
38,21240.400391,3577.399902,2949.800049,17877.800781,3432,60283731,
39,20732.400391,3519.199951,2871.100098,17440.800781,3381,60236072,
40,20834.300781,3531.699951,2873.000000,17514.699219,3404,61899357,
41,20639.800781,3439.300049,2826.899902,17400.300781,3428,62204466,
42,20713.099609,3498.800049,2860.699951,17444.800781,3449,58818674,
43,20995.699219,3687.800049,3037.100098,17514.500000,3433,59151522,
44,20787.800781,3472.000000,2873.500000,17533.400391,3432,59092834,
45,20575.800781,3522.500000,2905.000000,17275.900391,3479,59070370,
46,20936.199219,3559.899902,2887.899902,17628.400391,3489,59320535,
47,21021.900391,3884.399902,3260.100098,17365.000000,3557,62612855,
48,20999.900391,3589.399902,3006.500000,17611.199219,3535,59833603,
49,20782.500000,3532.300049,2925.500000,17448.800781,3541,59726595,
50,20840.199219,3583.399902,2896.300049,17484.000000,3563,59628014,
51,20738.500000,3690.100098,3072.199951,17260.400391,3569,59524174,
52,20723.599609,3585.800049,2989.500000,17336.099609,3591,57946451,
53,20670.500000,3594.800049,2966.399902,17277.699219,3638,55837811,
54,20947.099609,3724.399902,3031.300049,17450.599609,3668,55592393,
55,20946.900391,3738.699951,3085.300049,17430.199219,3686,58485213,
56,20995.900391,3860.699951,3198.100098,17365.500000,3674,58491703,
57,21390.400391,4043.399902,3318.100098,17591.000000,3673,58343959,
58,21037.000000,3848.399902,3132.300049,17439.800781,3683,55950835,
59,21025.599609,3713.300049,3072.100098,17525.300781,3706,55771379,
60,21084.599609,3636.300049,2975.300049,17689.300781,3728,53375277,
61,21056.000000,3695.899902,3046.300049,17578.800781,3727,53339949,
62,20825.199219,3526.699951,2880.500000,17518.800781,3760,54037751,
63,20932.099609,3618.100098,2983.899902,17538.500000,3755,54120055,
64,20905.500000,3571.199951,2926.100098,17558.300781,3770,54094541,
65,20913.199219,3571.899902,2904.300049,17576.500000,3765,53484493,
66,20988.599609,3671.899902,3002.199951,17557.900391,3803,56340429,
67,20884.900391,3746.300049,3122.100098,17362.900391,3821,56389176,
68,20800.400391,3598.100098,2942.600098,17428.800781,3818,55683512,
69,20786.400391,3605.899902,2937.699951,17412.800781,3846,57152232,
70,20934.099609,3645.600098,2950.899902,17527.800781,3818,54539490,
71,20911.000000,3806.899902,3110.300049,17330.699219,3827,54603746,
72,20662.199219,3596.699951,2938.300049,17284.800781,3899,54358178,
73,20924.000000,3811.500000,3061.800049,17393.699219,3942,57623682,
74,21048.199219,3764.699951,3113.300049,17506.000000,3933,58016114,
75,21009.900391,3706.899902,3018.800049,17531.300781,3920,57827378,
76,20779.400391,3696.500000,2999.699951,17331.900391,3958,61119420,
77,21111.900391,3893.300049,3227.899902,17446.099609,3966,61388310,
78,21225.400391,3811.699951,3133.300049,17639.599609,3971,60918060,
79,21084.300781,3826.199951,3131.500000,17496.500000,3963,58114380,
80,21167.500000,3880.100098,3191.699951,17522.300781,3952,57877826,
81,20792.000000,3688.399902,3084.000000,17321.000000,3983,58285879,
82,20969.300781,3687.500000,3016.800049,17520.300781,4009,55484503,
