frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,18392.900391,2860.100098,2292.800049,15723.500000,1731,28882607,
2,18267.199219,3113.500000,2575.899902,15335.900391,1715,28037177,
3,18124.699219,2913.699951,2376.199951,15401.200195,1840,28055929,
4,17743.300781,2939.600098,2407.000000,15007.000000,1834,27709924,
5,17850.400391,2930.699951,2381.800049,15133.000000,1873,27649188,
6,17679.900391,2834.899902,2284.500000,15049.799805,1927,27414927,
7,18054.099609,2966.399902,2383.800049,15280.900391,1923,27478287,
8,17651.199219,2882.100098,2350.199951,14957.200195,1931,27798073,
9,18014.099609,2894.000000,2320.800049,15330.200195,1932,27743913,
10,17592.000000,2922.500000,2372.899902,14873.900391,1937,27772473,
11,17702.300781,2989.500000,2389.399902,14938.099609,1947,26379599,
12,17704.199219,2939.000000,2384.000000,14969.400391,1944,26344655,
13,17704.500000,3009.899902,2420.399902,14902.900391,1959,26405471,
14,17387.800781,2948.300049,2320.300049,14671.700195,1996,27833023,
15,17577.000000,3002.399902,2416.199951,14804.599609,2007,27926143,
16,17522.699219,3037.199951,2440.000000,14690.799805,2022,28152335,
17,17512.500000,2965.399902,2357.699951,14765.000000,2026,29549071,
18,17186.199219,2937.300049,2344.699951,14462.900391,2001,29799332,
19,17456.300781,2968.800049,2374.300049,14678.799805,2022,28677172,
20,17423.599609,2998.300049,2418.199951,14635.200195,2065,28806772,
21,17703.400391,3147.000000,2542.100098,14792.700195,2109,29309001,
22,17369.800781,3057.600098,2464.500000,14534.099609,2121,30818227,
23,17487.500000,2917.699951,2309.000000,14791.700195,2113,28132031,
24,17295.300781,2981.500000,2352.600098,14528.299805,2130,28108687,
25,17313.400391,2880.199951,2291.899902,14653.200195,2157,28314927,
26,17433.400391,2944.300049,2336.699951,14705.700195,2140,29651977,
27,17317.500000,2931.699951,2350.399902,14603.900391,2136,28070111,
28,17472.000000,2972.199951,2357.399902,14743.099609,2150,28169119,
29,17268.000000,2889.899902,2290.899902,14580.700195,2176,28104148,
30,17345.099609,2934.000000,2289.399902,14645.900391,2188,29949321,
31,17711.900391,3055.800049,2432.899902,14890.799805,2202,29991449,
32,17406.300781,2967.399902,2340.000000,14669.000000,2180,27083929,
33,17287.699219,2908.899902,2304.199951,14595.200195,2195,28282820,
34,17341.800781,2819.199951,2229.300049,14725.000000,2208,28310660,
35,17578.099609,2993.199951,2324.399902,14824.599609,2215,29787620,
36,17626.900391,3006.100098,2361.199951,14846.400391,2209,29849972,
37,17612.000000,2916.500000,2296.800049,14916.500000,2222,29877812,
38,17633.199219,2924.000000,2323.000000,14923.099609,2206,29657487,
39,17540.000000,2937.300049,2331.100098,14824.900391,2211,29880036,
40,17602.099609,2945.600098,2391.199951,14862.599609,2224,29923577,
41,17572.099609,2964.899902,2336.300049,14813.000000,2243,29569407,
42,17480.000000,2943.000000,2355.500000,14761.799805,2261,27930527,
43,17459.599609,3037.300049,2438.899902,14637.000000,2247,28037839,
44,17685.300781,3028.899902,2411.699951,14870.400391,2260,27961087,
45,17456.500000,2932.500000,2358.000000,14738.299805,2254,28055695,
46,17910.300781,3119.000000,2493.899902,15004.500000,2280,28458996,
47,17851.000000,3067.600098,2420.699951,15026.099609,2311,30106532,
48,17430.300781,2927.500000,2345.300049,14706.700195,2324,30121188,
49,17393.699219,2950.800049,2349.600098,14662.900391,2315,30106020,
50,17747.699219,3023.199951,2375.300049,14960.299805,2312,30043348,
51,17653.000000,3026.899902,2459.899902,14833.400391,2336,30007540,
52,17552.099609,3028.800049,2375.199951,14770.700195,2327,30224200,
53,17614.500000,3129.899902,2457.399902,14732.099609,2354,29193272,
54,17347.900391,3073.699951,2375.000000,14513.400391,2352,29048867,
55,17392.400391,2949.899902,2346.100098,14672.799805,2347,29052387,
56,17615.800781,3037.699951,2408.300049,14804.099609,2353,28992659,
57,17562.900391,3031.800049,2391.500000,14771.900391,2374,27507545,
58,17664.900391,3103.199951,2450.199951,14800.000000,2400,26209801,
59,17918.099609,3151.199951,2509.899902,15017.900391,2383,26162825,
60,17524.699219,3005.300049,2366.399902,14751.400391,2414,27765395,
61,17611.300781,3117.500000,2508.899902,14705.299805,2399,27730067,
62,17633.500000,3154.399902,2519.500000,14730.900391,2409,27932179,
63,17359.400391,2901.800049,2287.000000,14707.799805,2418,28008467,
64,17649.699219,3015.500000,2391.300049,14863.099609,2383,24840147,
65,17258.500000,2953.100098,2325.500000,14537.099609,2423,24953107,
66,17707.300781,3156.600098,2513.399902,14793.900391,2441,24972051,
67,17428.300781,2933.000000,2339.300049,14716.700195,2450,25159955,
68,17705.000000,3155.199951,2510.199951,14795.900391,2445,24978899,
69,17278.699219,2919.600098,2297.300049,14584.599609,2449,26358659,
70,17821.500000,3350.100098,2690.800049,14698.700195,2426,26492371,
71,17562.800781,3137.899902,2480.600098,14672.900391,2427,26499219,
72,17548.500000,3112.300049,2512.300049,14649.000000,2437,26254121,
73,17401.199219,2963.000000,2334.199951,14668.500000,2467,26149417,
74,17292.000000,3060.899902,2433.899902,14451.599609,2471,26226185,
75,17365.900391,2943.300049,2335.699951,14659.500000,2476,26139465,
76,17460.599609,3186.899902,2539.600098,14514.200195,2493,26312681,
77,17378.099609,3090.000000,2430.399902,14551.200195,2482,26264622,
78,17630.300781,3285.800049,2615.100098,14595.500000,2476,26204830,
79,17237.199219,2965.500000,2355.899902,14507.000000,2462,25891561,
80,17141.800781,3042.500000,2414.000000,14339.299805,2486,26043705,
81,17225.699219,2970.300049,2319.800049,14505.400391,2473,26249310,
82,17315.000000,3010.899902,2398.699951,14539.099609,2483,26431662,
83,17106.500000,2965.699951,2350.600098,14354.400391,2513,25132670,
84,17202.000000,3128.899902,2469.600098,14306.500000,2514,25109550,
85,17138.800781,3079.199951,2452.899902,14302.500000,2489,25101102,
86,16850.599609,2979.399902,2362.300049,14100.500000,2476,25152643,
87,17229.500000,3124.000000,2464.000000,14339.599609,2507,25555416,
88,17182.000000,3062.399902,2427.600098,14355.299805,2482,25440152,
89,17388.000000,3104.899902,2425.100098,14517.599609,2522,26537053,
90,17605.400391,3103.600098,2420.699951,14761.500000,2531,26617133,
91,17267.900391,3061.600098,2431.600098,14448.900391,2531,26490285,
92,17589.000000,3184.600098,2489.300049,14664.299805,2535,26780077,
