frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,14746.099609,2064.500000,1590.699951,12856.799805,1129,30510511,
2,14493.299805,1997.300049,1532.300049,12660.599609,1127,30114233,
3,14579.799805,2123.000000,1642.099976,12619.500000,1181,30145273,
4,14373.700195,2063.300049,1586.099976,12499.500000,1145,29798180,
5,14126.299805,2043.300049,1555.500000,12265.700195,1156,29786980,
6,14558.099609,2042.300049,1567.000000,12684.599609,1157,29609807,
7,14086.799805,2065.899902,1604.900024,12178.099609,1134,29726799,
8,14238.000000,2053.100098,1563.599976,12368.799805,1132,30077945,
9,14059.900391,2013.800049,1564.500000,12211.799805,1127,30052905,
10,13864.799805,2030.500000,1545.300049,12005.299805,1126,30108153,
11,13954.700195,2064.399902,1534.400024,12062.000000,1127,28725391,
12,14045.299805,2033.500000,1547.500000,12206.400391,1119,28716175,
13,14063.500000,2073.899902,1581.900024,12166.599609,1127,28717071,
14,13713.900391,2071.699951,1561.900024,11814.400391,1130,28709135,
15,13929.799805,2136.000000,1640.400024,11968.900391,1154,28701711,
16,13808.200195,2037.699951,1591.500000,11937.099609,1159,28735071,
17,13799.000000,2096.300049,1628.000000,11878.700195,1172,28655263,
18,13867.900391,2076.000000,1594.400024,11962.400391,1174,28720863,
19,13799.599609,2069.500000,1596.099976,11899.700195,1182,28640202,
20,13651.200195,2117.300049,1624.599976,11701.200195,1211,28719434,
21,13578.500000,2068.300049,1587.599976,11684.099609,1233,28897546,
22,13807.099609,2075.300049,1628.099976,11897.400391,1194,28865866,
23,13671.000000,2144.500000,1650.400024,11705.599609,1187,28867530,
24,13748.900391,2152.199951,1678.900024,11771.700195,1199,28889482,
25,13845.400391,2139.100098,1629.099976,11873.000000,1198,29080682,
26,13931.400391,2176.800049,1620.900024,11938.599609,1191,29074218,
27,13855.599609,2156.199951,1657.599976,11864.200195,1187,29010986,
28,13916.200195,2229.500000,1757.400024,11854.599609,1200,29096554,
29,13907.900391,2116.899902,1647.300049,11954.700195,1205,29072730,
30,13805.799805,2096.000000,1620.699951,11866.799805,1204,29228079,
31,13668.200195,2094.699951,1617.800049,11744.400391,1186,27750335,
32,13516.299805,2131.199951,1631.400024,11577.000000,1187,27748927,
33,13524.400391,2092.899902,1591.000000,11619.799805,1195,29034671,
34,13609.500000,2036.300049,1576.400024,11736.900391,1203,28953711,
35,13919.200195,2138.300049,1663.199951,11953.200195,1213,30275023,
36,14026.099609,2089.199951,1591.300049,12113.799805,1199,30282831,
37,13939.000000,2083.699951,1611.000000,12019.900391,1192,30307151,
38,13718.299805,2104.899902,1614.400024,11795.299805,1177,28686858,
39,13739.200195,2043.199951,1573.900024,11870.200195,1197,28721546,
40,13540.599609,2064.199951,1593.000000,11646.000000,1222,28681226,
41,13458.500000,2087.000000,1604.900024,11546.700195,1244,28496421,
42,13712.799805,2064.800049,1608.000000,11804.299805,1245,28488357,
43,13710.599609,2133.300049,1645.199951,11735.599609,1247,28478629,
44,13624.799805,2238.399902,1704.699951,11563.799805,1245,28465493,
45,13779.299805,2157.100098,1697.699951,11787.500000,1225,28396581,
46,13723.500000,2251.100098,1731.699951,11656.099609,1248,28765109,
47,13734.799805,2282.800049,1740.500000,11631.099609,1244,28743413,
48,13732.299805,2284.800049,1749.500000,11633.000000,1266,28856565,
49,13549.900391,2195.600098,1661.099976,11533.799805,1266,28879285,
50,13896.599609,2374.100098,1844.199951,11698.400391,1238,27411211,
51,13807.700195,2308.000000,1801.300049,11667.000000,1243,27396283,
52,13796.299805,2270.000000,1775.500000,11698.799805,1241,28927978,
53,13848.299805,2257.899902,1776.900024,11767.700195,1254,29018090,
