frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,11685.599609,1948.800049,1540.099976,9874.500000,1466,30318346,
2,11598.200195,2037.900024,1700.900024,9677.700195,1206,29064165,
3,11581.700195,2106.199951,1765.300049,9600.500000,1257,29114154,
4,11242.099609,2180.399902,1804.599976,9192.700195,1216,29180026,
5,11338.799805,2102.800049,1779.699951,9352.000000,1271,29224058,
6,11231.000000,1991.800049,1661.000000,9359.700195,1235,29094906,
7,10954.799805,1988.099976,1656.000000,9092.000000,1229,29063722,
8,11298.000000,1986.300049,1633.199951,9438.200195,1225,29026842,
9,10924.799805,1944.300049,1625.000000,9095.500000,1217,28957658,
10,10797.299805,1889.500000,1573.900024,9016.599609,1199,27601850,
11,10959.299805,2043.500000,1705.800049,9042.599609,1197,28738202,
12,11011.700195,2163.100098,1805.500000,8971.500000,1217,28740186,
13,10817.299805,2006.500000,1641.800049,8946.599609,1218,27267498,
14,10715.599609,1836.699951,1500.599976,9001.400391,1234,27266666,
15,10793.900391,2027.599976,1682.599976,8898.000000,1216,27361066,
16,10556.400391,2010.699951,1686.300049,8661.200195,1185,27368938,
17,10741.900391,1931.500000,1577.000000,8936.500000,1190,27384554,
18,10592.700195,1975.500000,1610.699951,8738.400391,1216,27237333,
19,10857.599609,2098.899902,1720.900024,8909.599609,1280,27335637,
20,10829.299805,2039.000000,1668.699951,8913.000000,1312,27349141,
21,10395.500000,1862.400024,1530.500000,8648.200195,1318,27436821,
22,10770.200195,1994.800049,1643.500000,8904.900391,1298,27393989,
23,10703.700195,2020.900024,1695.099976,8796.900391,1275,27273861,
24,10695.799805,2067.300049,1728.599976,8755.900391,1257,27469013,
25,10491.200195,1948.699951,1602.400024,8665.599609,1268,27398165,
26,10546.700195,1976.400024,1641.599976,8686.099609,1287,27386517,
27,10561.200195,2041.900024,1683.199951,8646.700195,1294,27300757,
28,10469.799805,1987.500000,1675.000000,8593.299805,1290,27521621,
29,10468.700195,1917.300049,1567.199951,8696.400391,1306,27644837,
30,10311.700195,1926.500000,1582.599976,8517.000000,1290,26139515,
31,10463.799805,2013.300049,1649.099976,8576.900391,1278,27561818,
32,10308.900391,1954.699951,1627.199951,8486.200195,1269,27567066,
33,10197.099609,1922.300049,1591.199951,8396.299805,1285,27440837,
34,10400.500000,1947.599976,1616.900024,8560.500000,1283,26051419,
35,10494.900391,1990.000000,1632.000000,8645.500000,1283,26125851,
36,10502.599609,1904.400024,1591.000000,8713.400391,1299,26035547,
37,10631.700195,2059.800049,1698.800049,8711.700195,1305,26275355,
38,10418.599609,1997.099976,1652.500000,8553.099609,1294,24994320,
39,10684.299805,2012.400024,1673.400024,8801.700195,1284,24979024,
40,10390.799805,2041.500000,1699.699951,8481.000000,1281,26268592,
41,10426.299805,1935.500000,1603.000000,8613.700195,1300,26660101,
42,10245.700195,1966.800049,1633.699951,8401.099609,1297,24995557,
43,10325.400391,2068.000000,1692.300049,8398.500000,1304,24977637,
44,10593.000000,2020.000000,1691.599976,8684.000000,1320,25016613,
45,10320.000000,1920.500000,1564.300049,8526.599609,1322,24813008,
46,10477.299805,2047.400024,1696.599976,8562.700195,1337,24856336,
47,10072.700195,1970.000000,1618.800049,8229.000000,1314,24920720,
48,10251.299805,2013.300049,1649.500000,8381.200195,1307,24843792,
49,10386.000000,1992.199951,1641.300049,8524.700195,1301,24868432,
50,10419.500000,2007.300049,1656.699951,8537.299805,1325,24898960,
51,10403.099609,2018.800049,1684.099976,8512.799805,1309,24898896,
52,10328.099609,1957.900024,1621.199951,8494.799805,1301,24853664,
53,10430.200195,1988.199951,1656.300049,8560.200195,1310,26223088,
54,10510.900391,2122.199951,1765.300049,8530.000000,1328,26258432,
55,10347.799805,2012.500000,1643.900024,8468.599609,1338,26157739,
56,10299.299805,1969.699951,1617.000000,8465.299805,1337,26007915,
57,10329.799805,2001.900024,1668.000000,8452.599609,1341,25977179,
58,10420.799805,1951.900024,1590.199951,8595.599609,1334,25980400,
59,10535.799805,1977.500000,1637.400024,8682.500000,1337,26049136,
60,10248.200195,1912.400024,1539.599976,8479.599609,1339,26126912,
61,10433.500000,1923.599976,1576.500000,8634.599609,1339,26133440,
62,10346.099609,1965.400024,1629.099976,8506.000000,1309,26111168,
63,10405.900391,1986.699951,1657.000000,8538.000000,1306,26110272,
64,10394.099609,2009.500000,1664.800049,8513.700195,1306,26113216,
65,10474.099609,1928.500000,1588.699951,8674.200195,1296,26039232,
66,10293.700195,1907.400024,1579.300049,8499.400391,1293,26031024,
67,10582.599609,1940.500000,1586.099976,8767.700195,1278,24657952,
68,10410.000000,2015.199951,1688.900024,8511.000000,1295,24709600,
69,10337.799805,1939.599976,1600.800049,8524.900391,1296,24766048,
70,10462.700195,2079.199951,1720.800049,8522.500000,1302,26205760,
71,10559.299805,2081.199951,1748.300049,8602.099609,1292,26106816,
72,10343.700195,2076.800049,1754.300049,8391.099609,1283,26162688,
73,10512.799805,2068.899902,1698.099976,8592.500000,1296,26272384,
74,10223.299805,1988.699951,1656.599976,8362.299805,1278,26367376,
