frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,20548.900391,2948.199951,2518.800049,17771.099609,1703,37960895,
2,19231.500000,2462.199951,2037.000000,16929.400391,1772,36164575,
3,18856.699219,2452.100098,2030.300049,16564.800781,1999,36200479,
4,19074.300781,2512.800049,2043.500000,16722.699219,2032,36262191,
5,19084.300781,2493.300049,2026.699951,16766.400391,2284,36282863,
6,18799.300781,2519.199951,2036.800049,16461.900391,2287,36122287,
7,18842.599609,2606.399902,2133.899902,16397.099609,2102,36094959,
8,18730.000000,2477.100098,2050.899902,16406.699219,1887,35914991,
9,18175.699219,2415.199951,2002.099976,15907.000000,1711,35693551,
10,18582.099609,2630.300049,2227.000000,16105.599609,1595,35523519,
11,18461.500000,2469.199951,2072.500000,16135.099609,1565,35489087,
12,18621.400391,2620.199951,2182.699951,16154.500000,1554,35467540,
13,18538.500000,2538.199951,2177.100098,16130.400391,1563,35553129,
14,18422.900391,2486.500000,2120.399902,16074.000000,1592,35838313,
15,18439.099609,2635.399902,2197.899902,15957.700195,1615,36043177,
16,18526.699219,2544.199951,2102.800049,16142.400391,1705,36229545,
17,18295.400391,2515.899902,2090.399902,15926.099609,1791,36710030,
18,18621.800781,2675.800049,2227.100098,16103.400391,1829,36508665,
19,18616.300781,2645.399902,2156.800049,16124.700195,1891,36201636,
20,18463.800781,2685.300049,2220.399902,15938.400391,1949,37781993,
21,18430.699219,2687.399902,2254.699951,15897.900391,1963,37933694,
22,18803.199219,2690.500000,2232.000000,16272.000000,1972,38107598,
23,18337.800781,2495.500000,2082.399902,15996.700195,1939,36739380,
24,18519.000000,2732.199951,2262.100098,15960.500000,1917,36644671,
25,18931.400391,2761.600098,2290.199951,16340.000000,1957,37939417,
26,18760.800781,2764.800049,2292.300049,16182.799805,1943,38271385,
27,18400.199219,2694.199951,2248.500000,15865.000000,1947,37880649,
28,18659.500000,2754.500000,2307.600098,16070.799805,1947,37876105,
29,18519.800781,2650.000000,2234.399902,16035.400391,1976,38043438,
30,18604.900391,2590.300049,2161.300049,16170.299805,1961,38124750,
