frameindex,frametime,cputime,culltime,gputime,draws,tris,
1,18393.400391,2746.100098,2332.899902,15804.200195,1731,28882607,
2,18186.800781,2933.600098,2530.699951,15411.900391,1715,28037177,
3,17882.000000,2766.600098,2318.100098,15293.000000,1840,28055929,
4,17831.699219,2832.300049,2409.300049,15158.400391,1834,27709924,
5,17944.300781,2878.399902,2435.100098,15222.099609,1873,27649188,
6,17855.000000,2926.000000,2492.399902,15084.700195,1927,27414927,
7,18094.500000,2954.600098,2491.100098,15317.700195,1923,27478287,
8,17999.699219,2912.300049,2464.500000,15244.099609,1931,27798073,
9,17242.199219,2698.500000,2279.300049,14714.000000,1932,27743913,
10,17286.500000,2727.500000,2298.699951,14702.799805,1937,27772473,
11,17412.400391,2811.399902,2379.500000,14761.500000,1947,26379599,
12,17502.199219,2746.699951,2325.899902,14914.000000,1944,26344655,
13,17345.400391,2743.800049,2263.500000,14788.599609,1959,26405471,
14,17590.000000,2816.600098,2406.100098,14912.900391,1996,27833023,
15,17398.199219,2817.600098,2379.899902,14732.000000,2007,27926143,
16,17634.000000,3006.300049,2555.500000,14813.400391,2022,28152335,
17,17534.800781,2858.000000,2394.000000,14842.099609,2026,29549071,
18,17499.500000,2879.699951,2440.699951,14782.099609,2001,29799332,
19,17499.599609,2809.199951,2352.800049,14864.400391,2022,28677172,
20,17436.900391,2876.600098,2424.899902,14733.799805,2065,28806772,
21,17317.300781,2877.600098,2382.199951,14624.000000,2109,29309001,
22,17401.099609,2751.000000,2305.800049,14807.500000,2121,30818227,
23,17556.099609,2822.000000,2338.800049,14924.599609,2113,28132031,
24,17461.800781,2851.100098,2424.100098,14768.299805,2130,28108687,
25,17319.099609,2714.600098,2264.000000,14783.200195,2157,28314927,
26,17302.800781,2762.300049,2316.500000,14700.200195,2140,29651977,
27,17326.099609,2787.899902,2354.600098,14704.799805,2136,28070111,
28,17416.800781,2929.500000,2469.100098,14648.200195,2150,28169119,
29,17406.699219,2774.100098,2303.199951,14799.599609,2176,28104148,
30,17294.099609,2706.100098,2260.199951,14747.400391,2188,29949321,
31,17399.599609,2652.399902,2210.800049,14920.900391,2202,29991449,
32,17277.300781,2740.899902,2266.500000,14698.400391,2180,27083929,
33,17307.000000,2735.600098,2291.600098,14727.000000,2195,28282820,
34,17368.300781,2716.100098,2251.300049,14819.700195,2208,28310660,
35,17514.000000,2808.000000,2329.699951,14874.000000,2215,29787620,
36,17458.300781,2760.800049,2273.600098,14872.500000,2209,29849972,
