frameindex;cputime;culltime;cpunocull;
1;2436.100098;1893.199951;542.900147;
2;2422.199951;1924.300049;497.899902;
3;2521.100098;2049.399902;471.700196;
4;2497.199951;2025.300049;471.899902;
5;2567.500000;2053.800049;513.699951;
6;2458.899902;1922.800049;536.099853;
7;2371.399902;1916.300049;455.099853;
8;2419.899902;1918.199951;501.699951;
9;2564.399902;2020.599976;543.799926;
10;2397.699951;1902.000000;495.699951;
11;2438.100098;1955.300049;482.800049;
12;2465.199951;1993.000000;472.199951;
13;2465.699951;2002.300049;463.399902;
14;2451.399902;1981.900024;469.499878;
15;2536.199951;2066.699951;469.500000;
16;2644.100098;2155.600098;488.500000;
17;2469.600098;1964.500000;505.100098;
18;2369.500000;1891.599976;477.900024;
19;2426.199951;1911.500000;514.699951;
20;2433.199951;1924.599976;508.599975;
21;2480.800049;1958.900024;521.900025;
22;2412.699951;1900.599976;512.099975;
23;2522.399902;2013.099976;509.299926;
24;2437.100098;1959.099976;478.000122;
25;2477.000000;1975.699951;501.300049;
26;2432.600098;1936.000000;496.600098;
27;2493.899902;1995.400024;498.499878;
28;2564.000000;2021.599976;542.400024;
29;2494.399902;1981.599976;512.799926;
30;2475.300049;1960.599976;514.700073;
31;2526.000000;2044.099976;481.900024;
32;2448.500000;1957.699951;490.800049;
33;2495.699951;1977.000000;518.699951;
34;2503.899902;1993.099976;510.799926;
35;2675.699951;2146.600098;529.099853;
36;2624.399902;2108.000000;516.399902;
37;2599.800049;2095.399902;504.400147;
38;2634.600098;2129.899902;504.700196;
39;2641.500000;2150.300049;491.199951;
40;2510.500000;2029.000000;481.500000;
41;2550.500000;2040.900024;509.599976;
42;2590.300049;2045.800049;544.500000;
43;2520.899902;2053.199951;467.699951;
44;2501.199951;2015.400024;485.799927;
45;2494.899902;1966.000000;528.899902;
46;2503.899902;1983.900024;519.999878;
47;2576.800049;2090.100098;486.699951;
48;2690.800049;2181.500000;509.300049;
49;2542.199951;2031.099976;511.099975;
50;2572.000000;2060.500000;511.500000;
51;2584.500000;2074.300049;510.199951;
52;2438.600098;1931.199951;507.400147;
53;2597.300049;2065.899902;531.400147;
54;2482.500000;1952.699951;529.800049;
55;2580.399902;2040.000000;540.399902;
56;2472.699951;1984.800049;487.899902;
57;2520.399902;1989.400024;530.999878;
58;2581.300049;1997.300049;584.000000;
59;2490.399902;2006.500000;483.899902;
60;2498.399902;1990.300049;508.099853;
61;2497.600098;1993.400024;504.200074;
62;2450.100098;1971.099976;479.000122;
63;2540.899902;1981.300049;559.599853;
64;2500.800049;1974.300049;526.500000;
65;2390.100098;1913.800049;476.300049;
66;2587.500000;2052.199951;535.300049;
67;2499.100098;2000.900024;498.200074;
68;2643.399902;2119.600098;523.799804;
69;2543.899902;2042.400024;501.499878;
70;2614.300049;2103.100098;511.199951;
71;2648.899902;2115.699951;533.199951;
72;2559.399902;2055.000000;504.399902;
73;2565.500000;2054.500000;511.000000;
74;2646.000000;2098.899902;547.100098;
75;2541.100098;2042.300049;498.800049;
76;2762.399902;2212.300049;550.099853;
77;2675.899902;2145.500000;530.399902;
78;2538.899902;2048.399902;490.500000;
79;2510.000000;2019.599976;490.400024;
80;2502.500000;2005.599976;496.900024;
81;2548.800049;1964.599976;584.200073;
82;2551.600098;2024.699951;526.900147;
83;2614.199951;2096.600098;517.599853;
84;2730.000000;2215.699951;514.300049;
85;2490.600098;2016.599976;474.000122;
86;2659.300049;2154.300049;505.000000;
87;2579.399902;2070.600098;508.799804;
88;2475.699951;2000.699951;475.000000;
89;2403.800049;1922.800049;481.000000;
