frameindex;cputime;culltime;cpunocull;
1;2055.699951;1673.500000;382.199951;
2;2019.699951;1679.699951;340.000000;
3;1995.699951;1682.900024;312.799927;
4;2126.300049;1794.400024;331.900025;
5;2254.399902;1879.099976;375.299926;
6;2111.699951;1777.599976;334.099975;
7;2045.400024;1712.000000;333.400024;
8;1970.800049;1646.800049;324.000000;
9;1944.400024;1606.300049;338.099975;
10;2095.600098;1696.000000;399.600098;
11;1985.400024;1609.900024;375.500000;
12;1991.300049;1660.800049;330.500000;
13;1952.800049;1617.099976;335.700073;
14;1980.699951;1641.699951;339.000000;
15;1958.800049;1641.599976;317.200073;
16;1957.500000;1648.300049;309.199951;
17;1918.699951;1600.500000;318.199951;
18;1876.500000;1532.800049;343.699951;
19;1996.400024;1632.900024;363.500000;
20;1966.300049;1609.699951;356.600098;
21;1912.900024;1586.000000;326.900024;
22;2019.900024;1674.599976;345.300048;
23;1983.900024;1651.099976;332.800048;
24;2039.500000;1651.800049;387.699951;
25;2022.900024;1677.599976;345.300048;
26;2014.699951;1665.500000;349.199951;
27;2053.000000;1699.400024;353.599976;
28;1982.400024;1660.099976;322.300048;
29;2104.699951;1761.300049;343.399902;
30;1959.199951;1632.000000;327.199951;
31;2096.300049;1746.199951;350.100098;
32;1968.000000;1654.300049;313.699951;
33;1992.699951;1658.500000;334.199951;
34;1988.000000;1655.400024;332.599976;
35;2078.600098;1680.099976;398.500122;
36;2008.900024;1704.000000;304.900024;
37;2012.900024;1677.500000;335.400024;
38;2092.399902;1729.500000;362.899902;
39;1975.900024;1642.000000;333.900024;
40;1962.900024;1649.599976;313.300048;
41;1977.300049;1649.500000;327.800049;
42;2142.800049;1785.199951;357.600098;
43;2087.800049;1756.300049;331.500000;
44;1987.500000;1680.900024;306.599976;
45;2090.899902;1740.400024;350.499878;
46;2103.100098;1758.800049;344.300049;
47;2128.199951;1754.300049;373.899902;
48;2073.300049;1752.500000;320.800049;
49;2124.000000;1763.800049;360.199951;
50;2011.599976;1664.900024;346.699952;
51;2133.800049;1782.500000;351.300049;
52;2016.199951;1672.099976;344.099975;
53;1923.599976;1612.300049;311.299927;
54;2061.100098;1726.900024;334.200074;
55;1918.300049;1594.500000;323.800049;
56;2091.000000;1715.800049;375.199951;
57;2079.000000;1740.500000;338.500000;
58;2013.199951;1681.599976;331.599975;
59;1988.599976;1667.800049;320.799927;
60;2130.600098;1786.699951;343.900147;
61;2028.300049;1716.300049;312.000000;
62;2049.100098;1707.400024;341.700074;
63;1950.900024;1604.800049;346.099975;
64;2008.000000;1683.300049;324.699951;
65;2074.399902;1750.099976;324.299926;
66;2050.500000;1726.000000;324.500000;
67;2057.199951;1703.400024;353.799927;
68;2151.300049;1783.199951;368.100098;
69;2043.599976;1723.300049;320.299927;
70;2145.300049;1797.599976;347.700073;
71;2048.800049;1692.800049;356.000000;
72;2049.899902;1711.199951;338.699951;
73;2049.000000;1715.699951;333.300049;
74;2243.199951;1911.599976;331.599975;
75;2111.899902;1761.199951;350.699951;
76;2064.800049;1715.099976;349.700073;
77;2165.600098;1835.000000;330.600098;
78;2120.500000;1779.300049;341.199951;
79;2169.300049;1842.800049;326.500000;
80;2083.699951;1776.699951;307.000000;
81;2047.699951;1721.900024;325.799927;
82;2147.899902;1785.400024;362.499878;
83;2070.800049;1747.099976;323.700073;
84;2096.500000;1779.099976;317.400024;
85;2028.400024;1680.300049;348.099975;
86;2024.400024;1688.699951;335.700073;
87;1937.199951;1621.400024;315.799927;
88;2133.500000;1817.000000;316.500000;
89;2148.000000;1829.500000;318.500000;
90;2055.899902;1729.900024;325.999878;
91;2072.199951;1726.900024;345.299927;
92;2092.600098;1755.900024;336.700074;
93;2177.699951;1859.099976;318.599975;
94;2037.699951;1718.300049;319.399902;
95;2174.600098;1801.900024;372.700074;
96;2047.900024;1737.900024;310.000000;
97;2174.100098;1842.800049;331.300049;
98;2080.199951;1741.800049;338.399902;
99;1965.900024;1655.699951;310.200073;
100;2142.199951;1806.099976;336.099975;
101;2137.699951;1765.800049;371.899902;
102;2088.899902;1740.800049;348.099853;
103;2056.399902;1733.800049;322.599853;
104;2038.500000;1715.699951;322.800049;
105;2075.100098;1727.000000;348.100098;
106;2076.100098;1760.900024;315.200074;
107;2203.000000;1888.000000;315.000000;
108;2132.199951;1781.599976;350.599975;
109;2004.699951;1681.699951;323.000000;
110;2080.100098;1749.400024;330.700074;
111;1933.900024;1592.900024;341.000000;
112;2035.800049;1729.800049;306.000000;
113;2074.000000;1756.400024;317.599976;
114;2045.099976;1728.000000;317.099976;
115;2031.900024;1697.199951;334.700073;
116;2006.800049;1666.699951;340.100098;
117;2017.000000;1689.099976;327.900024;
118;2024.699951;1695.599976;329.099975;
119;1916.099976;1600.500000;315.599976;
120;2016.699951;1662.000000;354.699951;
121;2027.400024;1665.699951;361.700073;
122;2090.300049;1780.000000;310.300049;
123;1965.900024;1642.199951;323.700073;
124;2052.300049;1735.599976;316.700073;
125;1971.800049;1660.599976;311.200073;
126;2091.699951;1742.800049;348.899902;
127;2011.000000;1682.900024;328.099976;
128;1954.099976;1638.699951;315.400025;
129;2018.300049;1667.099976;351.200073;
130;2096.199951;1719.500000;376.699951;
131;1940.599976;1622.800049;317.799927;
132;2085.199951;1745.699951;339.500000;
133;1866.900024;1539.699951;327.200073;
134;2013.400024;1683.099976;330.300048;
135;1981.699951;1658.500000;323.199951;
136;2034.000000;1718.400024;315.599976;
137;1931.400024;1577.500000;353.900024;
138;2013.300049;1708.800049;304.500000;
139;1968.199951;1633.199951;335.000000;
140;1992.599976;1686.300049;306.299927;
141;2024.699951;1707.800049;316.899902;
142;2037.400024;1730.199951;307.200073;
143;1878.300049;1565.599976;312.700073;
144;2083.500000;1760.699951;322.800049;
145;2102.399902;1756.300049;346.099853;
146;1931.400024;1607.000000;324.400024;
147;2047.099976;1716.800049;330.299927;
148;1892.500000;1565.599976;326.900024;
149;2000.099976;1669.000000;331.099976;
150;2007.800049;1669.699951;338.100098;
151;2008.400024;1667.500000;340.900024;
152;2008.099976;1688.900024;319.199952;
153;1982.699951;1674.599976;308.099975;
154;1979.500000;1639.800049;339.699951;
155;1864.699951;1559.500000;305.199951;
156;1964.199951;1647.500000;316.699951;
157;2004.699951;1695.900024;308.799927;
158;2076.399902;1737.900024;338.499878;
159;1968.099976;1634.099976;334.000000;
160;2035.000000;1708.400024;326.599976;
161;1857.199951;1536.599976;320.599975;
162;1880.500000;1555.900024;324.599976;
163;1916.000000;1593.300049;322.699951;
164;1993.099976;1671.699951;321.400025;
165;2117.300049;1771.599976;345.700073;
166;1942.699951;1630.099976;312.599975;
167;1874.699951;1573.099976;301.599975;
168;1979.000000;1670.300049;308.699951;
169;1973.300049;1643.099976;330.200073;
170;2198.800049;1846.500000;352.300049;
171;1889.900024;1564.000000;325.900024;
172;2052.699951;1706.800049;345.899902;
173;1891.800049;1560.500000;331.300049;
174;2030.400024;1700.300049;330.099975;
175;1960.199951;1655.699951;304.500000;
176;1931.599976;1609.400024;322.199952;
177;1836.500000;1505.000000;331.500000;
178;1897.599976;1557.000000;340.599976;
179;1846.699951;1530.400024;316.299927;
180;1962.199951;1645.699951;316.500000;
181;1778.000000;1442.300049;335.699951;
182;1919.800049;1559.099976;360.700073;
183;1785.400024;1484.000000;301.400024;
184;1969.300049;1595.699951;373.600098;
185;1980.900024;1629.599976;351.300048;
186;1773.000000;1443.300049;329.699951;
187;1990.599976;1600.300049;390.299927;
188;1810.099976;1498.199951;311.900025;
189;1812.099976;1462.900024;349.199952;
190;1825.199951;1519.199951;306.000000;
191;1818.300049;1500.099976;318.200073;
192;2005.800049;1679.099976;326.700073;
193;2073.500000;1726.500000;347.000000;
194;1966.400024;1593.699951;372.700073;
195;2013.199951;1666.199951;347.000000;
196;1929.900024;1600.599976;329.300048;
197;1856.300049;1485.599976;370.700073;
198;1966.599976;1630.599976;336.000000;
199;1797.099976;1452.300049;344.799927;
200;1784.099976;1456.199951;327.900025;
201;1854.300049;1538.699951;315.600098;
202;1928.400024;1608.199951;320.200073;
203;1933.699951;1607.099976;326.599975;
204;1766.599976;1435.599976;331.000000;
205;1770.199951;1472.599976;297.599975;
206;1875.800049;1538.800049;337.000000;
207;1883.500000;1554.099976;329.400024;
208;1858.099976;1543.500000;314.599976;
209;1823.099976;1506.699951;316.400025;
210;1785.800049;1475.800049;310.000000;
211;1846.900024;1532.500000;314.400024;
212;1902.599976;1584.699951;317.900025;
213;1883.900024;1566.699951;317.200073;
214;1894.199951;1577.300049;316.899902;
215;1890.199951;1575.699951;314.500000;
216;1882.699951;1585.699951;297.000000;
217;1959.000000;1603.699951;355.300049;
218;1946.900024;1613.500000;333.400024;
219;1882.800049;1579.400024;303.400025;
220;1907.199951;1577.400024;329.799927;
221;1918.199951;1591.400024;326.799927;
222;1908.400024;1579.000000;329.400024;
223;1945.699951;1619.599976;326.099975;
224;1980.400024;1670.699951;309.700073;
225;1966.000000;1655.099976;310.900024;
226;1979.099976;1653.300049;325.799927;
227;1952.900024;1645.699951;307.200073;
228;2041.400024;1683.300049;358.099975;
229;1894.800049;1581.300049;313.500000;
230;1905.199951;1601.900024;303.299927;
231;1907.099976;1544.400024;362.699952;
232;1926.000000;1604.400024;321.599976;
233;1924.000000;1563.199951;360.800049;
234;1957.199951;1645.599976;311.599975;
235;1968.300049;1647.599976;320.700073;
236;2091.399902;1755.000000;336.399902;
237;1934.900024;1602.800049;332.099975;
238;1955.500000;1626.500000;329.000000;
239;1797.800049;1485.300049;312.500000;
240;1924.500000;1622.400024;302.099976;
241;1946.800049;1576.000000;370.800049;
242;1979.900024;1683.900024;296.000000;
243;1868.099976;1551.000000;317.099976;
244;1969.199951;1645.500000;323.699951;
245;1937.599976;1644.000000;293.599976;
246;1952.900024;1645.000000;307.900024;
247;1982.800049;1666.400024;316.400025;
248;1886.900024;1559.199951;327.700073;
249;1985.900024;1680.099976;305.800048;
250;1942.099976;1629.699951;312.400025;
251;2010.500000;1652.199951;358.300049;
252;2037.900024;1670.699951;367.200073;
253;1817.599976;1490.599976;327.000000;
254;1992.699951;1642.300049;350.399902;
255;1986.500000;1660.000000;326.500000;
256;1977.599976;1658.599976;319.000000;
257;2014.699951;1683.099976;331.599975;
258;1907.900024;1576.699951;331.200073;
259;1965.699951;1663.599976;302.099975;
